time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-07 18:00:00+00:00,12.0,25.101,78.03135
2016-03-07 19:00:00+00:00,17.0,23.551,84.840294
2016-03-07 20:00:00+00:00,20.0,23.101,85.054886
2016-03-07 21:00:00+00:00,32.0,22.551,87.12705
2016-03-07 22:00:00+00:00,22.0,21.751,91.195595
2016-03-07 23:00:00+00:00,9.0,21.251,93.161766
2016-03-08 00:00:00+00:00,4.0,20.901001,94.59846
2016-03-08 01:00:00+00:00,20.0,20.451,96.059425
2016-03-08 02:00:00+00:00,26.0,20.151001,97.25095
2016-03-08 03:00:00+00:00,18.0,19.901001,98.15638
2016-03-08 04:00:00+00:00,22.0,19.551,98.7643
2016-03-08 05:00:00+00:00,17.0,19.151001,99.37857
2016-03-08 06:00:00+00:00,15.0,19.001,99.68851
2016-03-08 07:00:00+00:00,16.0,19.051,99.3781
2016-03-08 08:00:00+00:00,17.0,19.051,99.3781
2016-03-08 09:00:00+00:00,16.0,19.001,99.068085
2016-03-08 10:00:00+00:00,19.0,19.101,99.378334
2016-03-08 11:00:00+00:00,18.0,19.801,96.3399
2016-03-08 12:00:00+00:00,19.0,21.901001,85.4596
2016-03-08 13:00:00+00:00,17.0,23.951,75.48266
2016-03-08 14:00:00+00:00,20.0,25.401001,69.001564
2016-03-08 15:00:00+00:00,17.0,26.151001,65.59136
2016-03-08 16:00:00+00:00,32.0,26.601,63.67376
2016-03-08 17:00:00+00:00,36.0,26.301,65.827
2016-03-08 18:00:00+00:00,38.0,25.551,69.67689
2016-03-08 19:00:00+00:00,35.0,25.801,69.9406
2016-03-08 20:00:00+00:00,,24.651001,77.486336
2016-03-08 21:00:00+00:00,,23.351,85.86996
2016-03-08 22:00:00+00:00,25.0,22.051,93.48856
2016-03-08 23:00:00+00:00,22.0,21.501,96.682724
2016-03-09 00:00:00+00:00,20.0,21.251,97.2735
2016-03-09 01:00:00+00:00,10.0,21.251,97.2735
2016-03-09 02:00:00+00:00,26.0,21.001,97.56864
2016-03-09 03:00:00+00:00,16.0,20.901001,97.868095
2016-03-09 04:00:00+00:00,12.0,20.751,97.865715
2016-03-09 05:00:00+00:00,13.0,20.701,97.8649
2016-03-09 06:00:00+00:00,14.0,20.601,97.86328
2016-03-09 07:00:00+00:00,17.0,20.401001,96.65539
2016-03-09 08:00:00+00:00,18.0,20.101,97.24995
2016-03-09 09:00:00+00:00,13.0,20.001,97.24787
2016-03-09 10:00:00+00:00,13.0,20.301,95.46038
2016-03-09 11:00:00+00:00,12.0,21.751,88.69048
2016-03-09 12:00:00+00:00,17.0,23.951,79.077835
2016-03-09 13:00:00+00:00,17.0,25.951,70.185585
2016-03-09 14:00:00+00:00,20.0,27.301,61.681206
2016-03-09 15:00:00+00:00,17.0,28.001,57.390415
2016-03-09 16:00:00+00:00,15.0,28.201,56.020565
2016-03-09 17:00:00+00:00,17.0,28.251,55.683228
2016-03-09 18:00:00+00:00,14.0,27.651001,58.575226
2016-03-09 19:00:00+00:00,24.0,27.951,57.199383
2016-03-09 20:00:00+00:00,,26.701,62.515274
2016-03-09 21:00:00+00:00,18.0,25.851,71.04045
2016-03-09 22:00:00+00:00,14.0,24.651001,79.41948
2016-03-09 23:00:00+00:00,20.0,23.751,84.8613
2016-03-10 00:00:00+00:00,27.0,23.201,89.62683
2016-03-10 01:00:00+00:00,45.0,22.701,92.94892
2016-03-10 02:00:00+00:00,48.0,22.201,95.231735
2016-03-10 03:00:00+00:00,53.0,21.901001,96.396706
2016-03-10 04:00:00+00:00,48.0,21.451,96.979126
2016-03-10 05:00:00+00:00,46.0,21.251,96.379265
2016-03-10 06:00:00+00:00,10.0,20.951,94.60046
2016-03-10 07:00:00+00:00,12.0,21.451,88.94212
2016-03-10 08:00:00+00:00,3.0,21.501,83.83265
2016-03-10 09:00:00+00:00,7.0,21.401001,80.72456
2016-03-10 10:00:00+00:00,18.0,22.101,75.897934
2016-03-10 11:00:00+00:00,8.0,23.801,70.22027
2016-03-10 12:00:00+00:00,11.0,24.751,67.80612
2016-03-10 13:00:00+00:00,18.0,25.701,66.52796
2016-03-10 14:00:00+00:00,14.0,26.601,64.0716
