time,MP2.5,temperature_2m,relative_humidity_2m,mes,hora,dia_semana,MP2.5_imputado_media
2016-03-07 18:00:00+00:00,12.0,25.101,78.03135,3,18,0,0
2016-03-07 19:00:00+00:00,17.0,23.551,84.840294,3,19,0,0
2016-03-07 20:00:00+00:00,20.0,23.101,85.054886,3,20,0,0
2016-03-07 21:00:00+00:00,32.0,22.551,87.12705,3,21,0,0
2016-03-07 22:00:00+00:00,22.0,21.751,91.195595,3,22,0,0
2016-03-07 23:00:00+00:00,9.0,21.251,93.161766,3,23,0,0
2016-03-08 00:00:00+00:00,4.0,20.901001,94.59846,3,0,1,0
2016-03-08 01:00:00+00:00,20.0,20.451,96.059425,3,1,1,0
2016-03-08 02:00:00+00:00,26.0,20.151001,97.25095,3,2,1,0
2016-03-08 03:00:00+00:00,18.0,19.901001,98.15638,3,3,1,0
2016-03-08 04:00:00+00:00,22.0,19.551,98.7643,3,4,1,0
2016-03-08 05:00:00+00:00,17.0,19.151001,99.37857,3,5,1,0
2016-03-08 06:00:00+00:00,15.0,19.001,99.68851,3,6,1,0
2016-03-08 07:00:00+00:00,16.0,19.051,99.3781,3,7,1,0
2016-03-08 08:00:00+00:00,17.0,19.051,99.3781,3,8,1,0
2016-03-08 09:00:00+00:00,16.0,19.001,99.068085,3,9,1,0
2016-03-08 10:00:00+00:00,19.0,19.101,99.378334,3,10,1,0
2016-03-08 11:00:00+00:00,18.0,19.801,96.3399,3,11,1,0
2016-03-08 12:00:00+00:00,19.0,21.901001,85.4596,3,12,1,0
2016-03-08 13:00:00+00:00,17.0,23.951,75.48266,3,13,1,0
2016-03-08 14:00:00+00:00,20.0,25.401001,69.001564,3,14,1,0
2016-03-08 15:00:00+00:00,17.0,26.151001,65.59136,3,15,1,0
2016-03-08 16:00:00+00:00,32.0,26.601,63.67376,3,16,1,0
2016-03-08 17:00:00+00:00,36.0,26.301,65.827,3,17,1,0
2016-03-08 18:00:00+00:00,38.0,25.551,69.67689,3,18,1,0
2016-03-08 19:00:00+00:00,35.0,25.801,69.9406,3,19,1,0
2016-03-08 20:00:00+00:00,31.666666666666668,24.651001,77.486336,3,20,1,0
2016-03-08 21:00:00+00:00,28.333333333333336,23.351,85.86996,3,21,1,0
2016-03-08 22:00:00+00:00,25.0,22.051,93.48856,3,22,1,0
2016-03-08 23:00:00+00:00,22.0,21.501,96.682724,3,23,1,0
2016-03-09 00:00:00+00:00,20.0,21.251,97.2735,3,0,2,0
2016-03-09 01:00:00+00:00,10.0,21.251,97.2735,3,1,2,0
2016-03-09 02:00:00+00:00,26.0,21.001,97.56864,3,2,2,0
2016-03-09 03:00:00+00:00,16.0,20.901001,97.868095,3,3,2,0
2016-03-09 04:00:00+00:00,12.0,20.751,97.865715,3,4,2,0
2016-03-09 05:00:00+00:00,13.0,20.701,97.8649,3,5,2,0
